0-0,0-0.2,0-0.4,0-0.6,0-0.8,0-1.0,0.2-0,0.2-0.2,0.2-0.4,0.2-0.6,0.2-0.8,0.2-1.0,0.4-0,0.4-0.2,0.4-0.4,0.4-0.6,0.4-0.8,0.4-1.0,0.6-0,0.6-0.2,0.6-0.4,0.6-0.6,0.6-0.8,0.6-1.0,0.8-0,0.8-0.2,0.8-0.4,0.8-0.6,0.8-0.8,0.8-1.0,1.0-0,1.0-0.2,1.0-0.4,1.0-0.6,1.0-0.8,1.0-1.0
-64.35677426612885,-68.34149881721069,-70.82295594492774,-72.42643511979232,-73.49657368935425,-74.2320805068573,-63.92541679725514,-68.07573378104635,-70.64839346644071,-72.3060481476059,-73.41033678517773,-74.16829485289223,-63.47456710815274,-67.80013823308164,-70.46832624037133,-72.18233284856024,-73.32194463581932,-74.1030613533817,-63.00272602594055,-67.51417440122546,-70.28237389816043,-72.05511686613644,-73.23134990361667,-74.03633682339041,-62.50873547220027,-67.21718622444395,-70.09040109321283,-71.92430776149156,-73.13845519284877,-73.96807130659012,-61.99059664779962,-66.90857475184565,-69.8922116126107,-71.7897931733508,-73.04318660454327,-73.898171439158
-64.30472081817828,-68.54233598210573,-71.08473951546301,-72.67737897805047,-73.71331556015836,-74.41069901345793,-63.83335758343328,-68.27003214127419,-70.91450310464381,-72.56456472884142,-73.6351242413361,-74.35444162167393,-63.33621556813636,-67.98595541017559,-70.73814282885608,-72.44824858810361,-73.55476774857331,-74.2967814610501,-62.8111480649456,-67.68937120812062,-70.55521770172547,-72.32823696844477,-73.47218569963866,-74.23767294571515,-62.25589996677661,-67.3794099260642,-70.36549909755475,-72.20439464047085,-73.38727142818362,-74.17705957254134,-61.66764533065581,-67.05509963201018,-70.16869313829403,-72.07658186419934,-73.29994091654959,-74.11484317449887
-64.25438470408415,-68.72717295715431,-71.31538636391059,-72.88989187449867,-73.89030547408004,-74.5517501705923,-63.74303365273604,-68.45064765257632,-71.15082962079667,-72.78501225751675,-73.81988617076728,-74.50239254442835,-63.19846115389872,-68.16044610633995,-70.97964367563694,-72.67654745336871,-73.74734591253832,-74.451708982018,-62.61756724300915,-67.85552690497926,-70.80133137353461,-72.56428835110594,-73.67261545186987,-74.39965323911544,-61.996542616828336,-67.5348127574162,-70.61557834081289,-72.4480672933652,-73.59558334292792,-74.34616632903979,-61.331214631943986,-67.19696256375948,-70.42200109554912,-72.32772135896757,-73.51615874016397,-74.29115076294913
-64.20566754193295,-68.89745092236278,-71.518928601588,-73.0703156996462,-74.03537483456914,-74.66372501781359,-63.654250306807384,-68.61869882285544,-71.36097125774332,-72.97339115709102,-73.9722437266198,-74.62054475360254,-63.06094269679398,-68.32443451503528,-71.19601183854257,-72.87287365165693,-73.90707523565763,-74.57613428534603,-62.42119420866079,-68.01326861987772,-71.02347561191274,-72.76854358369683,-73.83979476574807,-74.53044809323187,-61.7292820223288,-67.68382329524614,-70.84297736717514,-72.66020951550264,-73.77028962112998,-74.48342752266717,-60.97857115133507,-67.33441431820573,-70.65405109420192,-72.54768968348932,-73.6984650715557,-74.43497922035496
-64.15847819265454,-69.05447041390293,-71.69885054514623,-73.22390305890738,-74.15475377841098,-74.75312609517869,-63.56683164224103,-68.77519261285697,-71.5480617258506,-73.13471747879082,-74.09831394545051,-74.71538443075045,-62.92332686028821,-68.47865571700262,-71.39002012689956,-73.04199252039669,-74.0399471577673,-74.676517430358,-62.22126881657422,-68.16313538106513,-71.22409031513189,-72.9455019243852,-73.97957604565255,-74.63648132922914,-61.45244115354011,-67.82680112070575,-71.04978653793907,-72.84503778545194,-73.91708939516825,-74.59521968577059,-60.60682102506711,-67.46765425121349,-70.86657638864033,-72.74040388552824,-73.85239113736007,-74.55264532991514
-64.11273219117183,-69.19940557094127,-71.8581636652468,-73.35500671004067,-74.25340365460117,-74.82493993809854,-63.480618453069646,-68.92103826885538,-71.71483860486236,-73.2731848928689,-74.2030100721333,-74.79192826823117,-62.785266810271594,-68.62377262905035,-71.56411770555897,-73.18792991668653,-74.15081863276454,-74.75789823918596,-62.01704953541635,-68.30555678675591,-71.4053190867361,-73.09900858385089,-74.09675052654332,-74.72280855086787,-61.164310813068624,-67.96405130834032,-71.2378760248925,-73.00619862558017,-74.0406948145168,-74.68660615640951,-60.212349612961056,-67.59684177374747,-71.0611590881387,-72.9092960849035,-73.98255778040443,-74.64921113883668
-64.06835122284285,-69.33331687335402,-71.99947150505955,-73.46723520167427,-74.33527890591735,-74.88299637703071,-63.39546638917912,-69.05705909498948,-71.86369551926477,-73.3923063809076,-74.29028428752306,-74.85406166589523,-62.6464081306987,-68.76038656599754,-71.72047354735504,-73.31408740862007,-74.2436296387976,-74.82421290674083,-61.807803880649935,-68.44092361879181,-71.5690895219234,-73.23234401410053,-74.19523722919115,-74.79341170028376,-60.863121807056515,-68.09583612660916,-71.40891256498196,-73.14684700993479,-74.14499951564345,-74.76160906053256,-59.791268733351544,-67.72210562253663,-71.23923610554586,-73.05737449765552,-74.09282449457831,-74.7287327253887
-64.02526264157889,-69.45716182554844,-72.12502582250144,-73.56358248003339,-74.4035353356602,-74.9302418448786,-63.31124433281851,-69.1839979939513,-71.99672682981495,-73.49502697968418,-74.36331905024302,-74.90479821316883,-62.50641699433394,-68.88904588373208,-71.86101022242615,-73.42334836849429,-74.32158219047813,-74.87853915836925,-61.592637007042676,-68.5695945217961,-71.71713640038172,-73.34831571967985,-74.27824983551031,-74.85142939874312,-60.54684456516179,-68.22234516704229,-71.56442495507014,-73.26969863822131,-74.2332198487533,-74.82342430421859,-59.33896749384602,-67.84355131702368,-71.40210927119173,-73.18726600150389,-74.18640362260655,-74.79445922543465
-63.98339902631143,-69.57180525457544,-72.23677606095278,-73.64653483078298,-74.46069488447367,-74.96894738594047,-63.22783296239462,-69.30252672343549,-72.11576610931367,-73.58381686057017,-74.42467949476416,-74.94647901583023,-62.36497619888681,-69.01025305122498,-71.98743279816637,-73.51815682168811,-74.38727975119195,-74.92328644325323,-61.37063324077388,-68.69190129148052,-71.85102129814916,-73.44933037377335,-74.34842466562277,-74.89933755442873,-60.21310353388185,-68.34374113125806,-71.70581445799293,-73.3771102162811,-74.30801870357033,-74.87459211188705,-58.84994277042149,-67.96126712501598,-71.55100045932231,-73.30126259484062,-74.26597776673296,-74.84899275485576
-63.942697772746456,-69.67802859347384,-72.33640990655974,-73.71815908256856,-74.50877602501406,-75.00086708181405,-63.14512347819475,-69.41326055464769,-72.2224160286675,-73.66074907331975,-74.47643544176981,-74.98092596191564,-62.221781643985146,-69.12446882396242,-72.10125384579459,-73.60058433722584,-74.44284033168434,-74.96034366420425,-61.140859822985554,-68.80815304289027,-71.97214955426475,-73.53744941404713,-74.40792430393117,-74.93909117423492,-59.85935687106789,-68.46018113967723,-71.83436382487429,-73.47112325584666,-74.37159903282486,-74.91713251186111,-58.317756219258904,-68.0753288051052,-71.68705257425276,-73.401374379297,-74.33378559900282,-74.89441711438539
